,C1,C2,C3,C4,C5
Austria,0.5962161592363268,1.6851529246499224,2.337971677686461,2.4728954177644225,2.778618015132473
Belgium,0.811391954918581,2.5902990694094323,3.8076531550531634,3.989563771215919,4.2586356953131626
Belgium,0.811391954918581,2.5902990694094323,3.8076531550531634,3.989563771215919,4.2586356953131626
Bulgaria,2.354375141730334,2.358063477430673,3.85430310864598,7.487855572360306,7.490742749296401
Bulgaria,2.354375141730334,2.358063477430673,3.85430310864598,7.487855572360306,7.490742749296401
Croatia,0.8547208442378283,1.0508373130710542,1.0567262648274698,1.3905830709846743,2.282495317322523
Cyprus,0.10928597354631818,0.11345891545667362,0.17855411935081622,0.17864522780123945,1.2747984964102428
Czechia,1.788475495867448,2.3040555888485454,2.7520428640937813,3.8773686571128754,6.676986799656801
Denmark,2.7034175850429207,2.8551586492481325,5.313386733803682,5.356829262165493,5.512358070773621
Estonia,0.29144601863534453,0.62898595567148,0.6400166303062563,0.7854891473703326,2.012037414159529
Finland,0.9426696381418616,0.9712977480863322,2.1391221541518792,2.1667169514387767,3.45041097337913
France,0.0955457794859895,1.3589038209929736,1.431389207758294,1.891347347408134,1.9338129453488266
Germany,0.011645147621412902,0.18344561493954986,0.33375692700790827,5.016515011190173,5.131884624411022
Greece,1.9722561652069535,3.4812288105793385,3.481876411002182,6.174596172536914,9.474393564612015
Hungary,0.06286661892416585,0.7552088415128998,0.7711932374278551,1.1287738101317053,5.530572960236755
Iceland,0.016330635755857005,2.5219359454073795,2.5219439872165297,2.5256060258439255,3.0611652547198362
Ireland,0.4639665132169418,0.4991513877574943,0.6664637776905321,0.6850319959946858,1.173284984285769
Italy,0.5597050330818895,3.345128926095383,3.763332063222143,4.65465031916526,5.346143805097076
Latvia,0.917035207740825,1.1322750463787248,1.2651608712779492,1.3701984160908511,5.634898366804311
Liechtenstein,0.297638954714335,0.3967308397812201,4.4258362592696106,5.321319156150915,5.345196332696765
Lithuania,0.15249365412456814,0.44790906423979526,0.44831697902852513,0.4685816279323604,1.9979544745939761
Luxembourg,0.00018900860715263376,0.395851069490543,0.5574971073521233,0.7446706951664108,2.839907651716374
Malta,0.6286181495471697,2.321482788554911,6.865603409225201,8.087333208801573,8.256780749800692
Montenegro,1.71169459271161,1.7378238755031379,3.2213848527277484,5.330491211876228,5.351143209410331
Netherlands,0.5748994669505072,1.2681474532628076,1.6015404344885948,1.7402088949085817,2.0274651998819526
Norway,1.2603022736627196,1.905796174096512,2.8091225275036296,3.7160120892892308,4.723369645747987
Poland,0.45141687989616053,0.8505909443256414,1.3545937937520804,1.3553091219652302,1.6629718336175718
Portugal,0.3916698004156817,0.5167256531793798,0.5894404184826065,0.8640010798384357,1.001122746543892
Romania,0.42578226149906423,0.6645197640446396,0.929113042022312,3.5424190856024342,7.070227971688912
Serbia,2.2369818342757175,3.0717927651878583,3.5952182868201525,3.6218186984884535,4.093455167516011
Slovakia,0.8576077306010204,2.302013573035426,5.297384912874087,5.690481760503714,7.763197108427892
Slovenia,1.1190034592702183,1.3021463225453624,2.0285289720899478,2.7307498440859934,2.7324468516560514
Spain,1.7125696298542157,4.140925984542965,4.437806514133717,7.447477052420856,7.471452066085333
Sweden,0.007431977987016928,0.42060162680808333,1.0393162235557138,1.8069073662697308,2.2949982815275614
Switzerland,2.0261612233332214,4.034381928325923,6.451844481426969,9.27631604757935,9.525718853521559
Türkiye,3.428422093509685,11.43960959069966,15.370602331024926,15.625817538968558,16.069973373998046
