,C1,C2,C3,C4,C5
Austria,0.016561559978786857,0.030248243483710992,0.01813385425101497,0.003747881668832258,0.00849229437133473
Belgium,0.022538665414405024,0.049414086513634756,0.033815391267881426,0.005053072671187661,0.007474220113812309
Belgium,0.022538665414405024,0.049414086513634756,0.033815391267881426,0.005053072671187661,0.007474220113812309
Bulgaria,0.06539930949250927,0.00010245376945385528,0.04156221197820298,0.10093201288095349,8.019935933595668e-05
Bulgaria,0.06539930949250927,0.00010245376945385528,0.04156221197820298,0.10093201288095349,8.019935933595668e-05
Croatia,0.023742245673273005,0.005447679689811828,0.00016358199323376844,0.009273800171033455,0.02477534017605134
Cyprus,0.003035721487397727,0.00011591505306542887,0.0018082001081706287,2.530790289534275e-06,0.03044870190580565
Czechia,0.049679874885206886,0.014321669249474924,0.01244409097903433,0.03125904980608595,0.07776717062622011
Denmark,0.0750949329178589,0.0042150295612558755,0.0682841134598764,0.00120673689893919,0.004320244683559097
Estonia,0.008095722739870683,0.009376109362114873,0.00030640762874378693,0.0040409032517798975,0.03407078518858879
Finland,0.026185267726162822,0.0007952252762352949,0.032439566835154095,0.000766522146858268,0.03565816727612092
France,0.002654049430166375,0.03509327893074956,0.002013482965703341,0.012776614990273332,0.0011795999427970225
Germany,0.000323476322817025,0.004772235203281582,0.004175314224121067,0.13007661344950738,0.0032047114783569112
Greece,0.05478489347797093,0.041915906815899594,1.7988900634530236e-05,0.07479777115374255,0.09166103866875278
Hungary,0.0017462949701157182,0.01923172840524261,0.0004440109976376464,0.00993279368621806,0.12227219861402913
Iceland,0.0004536287709960279,0.06960014749032008,2.2338358750488126e-07,0.00010172329520543414,0.014876645246553083
Ireland,0.012887958700470607,0.000977357626126458,0.004647566387028829,0.000515783841782046,0.013562583008085645
Italy,0.015547362030052485,0.07737288591704149,0.01161675380907668,0.024758840442864354,0.01920815238699488
Latvia,0.02547320021502292,0.0059788844066083245,0.003691272913867346,0.002917709578136168,0.11846388751981829
Liechtenstein,0.008267748742064861,0.0027525523629690304,0.11191959498578861,0.024874524913369587,0.0006632549040513808
Lithuania,0.00423593483679356,0.008205983614311864,1.1330966353607588e-05,0.000562906913995424,0.04248257907393376
Luxembourg,5.25023908757316e-06,0.0109906128023164,0.004490167718377231,0.005199266328174652,0.0582010265708323
Malta,0.017461615265199154,0.04702401775021503,0.12622557279639696,0.03393693887712142,0.0047068761388644065
Montenegro,0.04754707201976694,0.0007258134108757754,0.04121002714512806,0.05858628775412443,0.0005736665981695391
Netherlands,0.015969429637514087,0.01925688850867502,0.00926091614516076,0.003851901678332969,0.007979341804815855
Norway,0.03500839649063111,0.017930386123160898,0.025092398705753274,0.0251913767162667,0.027982154346076538
Poland,0.012539357774893347,0.01108816845637447,0.01400007915073442,1.987022814304946e-05,0.008546186434787263
Portugal,0.01087971667821338,0.0034737736878805007,0.002019854591756298,0.00762668503766192,0.0038089351862626757
Romania,0.011827285041640675,0.006631597292932648,0.007349813277157569,0.07259183454389227,0.09799469128017992
Serbia,0.06213838428543661,0.023189192525337236,0.01453959782311928,0.0007389003241194741,0.01310101302854327
Slovakia,0.023822436961139455,0.04012238451206682,0.08320475943996282,0.010919356878600782,0.057575426331227156
Slovenia,0.03108342942417272,0.005087301757642896,0.020177295820682922,0.01950613533322349,4.7139099168272644e-05
Spain,0.047571378607061544,0.06745434318579858,0.0082466813775209,0.08360195939686497,0.0006659726017910098
Sweden,0.00020644383297269242,0.011476934689474068,0.017186516576323068,0.021321976186500474,0.013558080979384183
Switzerland,0.05628225620370059,0.055783908472019465,0.0671517375861402,0.07845754350423281,0.00692785572061689
Türkiye,0.0952339470419357,0.22253298603305488,0.10919424278681296,0.007089311331767537,0.012337662084152408
