,C1,C2,C3,C4,C5
Austria,-1.1143246777638867,1.148782741552539,-0.7677264057014477,0.3059441510033788,0.277385107098899
Belgium,-1.299945742146855,-1.4682946215444994,-1.0483797562435704,-0.3552441964079206,0.26022772308724923
Belgium,-1.299945742146855,-1.4682946215444994,-1.0483797562435704,-0.3552441964079206,0.26022772308724923
Bulgaria,2.2143573551347955,-0.0668577555585483,1.162279945610382,-1.5876826057526612,0.026956038594746566
Bulgaria,2.2143573551347955,-0.0668577555585483,1.162279945610382,-1.5876826057526612,0.026956038594746566
Croatia,1.3342033441647376,0.48752131063552173,0.07291706269733857,0.4812581379376086,-0.47378404682176545
Cyprus,-0.4770809659788919,0.07111443132542093,-0.24242905205948617,-0.007950186181082347,-0.5252366361343528
Czechia,-1.9299736264817686,0.7904686348955129,-0.6359793385239677,-0.8835621550594954,-0.8393996219002643
Denmark,-2.3728290158730525,-0.4288329372738342,1.4897769670994767,0.17360231644450708,0.19784486930910905
Estonia,0.7790923512465373,0.6395863028174854,-0.09979555661734732,0.3176789552978908,0.555599301654139
Finland,-1.4011661500610118,-0.18626570912972387,-1.0268309280454733,0.13836032491591463,-0.5683948430592451
France,-0.44608295720449864,-1.237370610038871,-0.2558205320080195,-0.5648812032282706,-0.10338034839653501
Germany,-0.1557336191234729,0.45629818610486633,0.36838844574173624,-1.802390253786132,0.17039823341699556
Greece,2.0267096641110958,-1.3523131009553,-0.02418041383547781,1.3667640529841139,-0.9113034346699234
Hungary,-0.36184279479837056,0.916003179012419,-0.12013188218009022,-0.49806374181264385,-1.0525299938809927
Iceland,0.18442144619520018,1.7425807104304016,0.0026945549746662106,0.05040335317721578,-0.3671327466508777
Ireland,-0.9829992703254916,0.20649739405122258,-0.3886639131347207,-0.11349666122075162,-0.35054342419266915
Italy,1.0796661447505465,-1.8373090753690207,-0.6144744233037343,0.7863472459639296,0.4171703331962523
Latvia,1.3819835772547142,0.5107376816927793,0.34637735841521766,-0.26994186875784565,1.0360091955753754
Liechtenstein,-0.7873263065358886,-0.34654179217705017,1.9072801233172794,0.7881821895559932,0.07751948073356692
Lithuania,0.5635542935301,0.5983470373871751,-0.019190880134095742,-0.11856800458400099,0.6204060971111561
Luxembourg,0.019840411165377096,-0.6924665132105482,-0.3820258049614229,-0.3603464531938757,0.7261660529293609
Malta,-1.1442036666639672,1.4323451724164884,2.0255132708092582,0.9206309111324311,0.20650805915044118
Montenegro,1.8880914108139948,-0.17795095232568092,1.157345075797266,-1.209615128191336,-0.07209421243187294
Netherlands,-1.0942229773697465,0.9166021683853067,-0.5486411698230556,-0.3101607342202534,0.2688773099766879
Norway,-1.6201202006260829,-0.8844690560440722,-0.9030930658872416,-0.7931862386038797,0.5035135866419791
Poland,-0.9696137701009704,0.6955329836390657,-0.6745694414176633,0.022276689232903324,0.2782638575137518
Portugal,0.9031708673675111,-0.38930374627324793,-0.25622498173788993,0.4364325416222302,-0.18576864414153033
Romania,0.9416806780226723,0.5378942417573388,-0.48876440567360663,1.3464589132305618,0.942262471926004
Serbia,2.1584455922050347,-1.0058440134716788,0.6874444573838558,-0.13584452767320065,-0.3445268387850981
Slovakia,-1.3364546327568536,-1.3230650282240333,1.6445061521557274,0.5222130850750144,-0.7222527452623508
Slovenia,-1.5266011730770428,-0.4711200330636854,-0.8098282050783314,-0.6979669139920839,0.020666230047161338
Spain,1.8885739557214647,-1.7155081326524582,-0.5177272515854016,1.4449653990880529,0.07767813704106774
Sweden,0.12441194638548869,-0.7076211050988132,-0.7474038807553565,0.7297312528227125,-0.350485238832888
Switzerland,-2.054219639497487,1.5600635579217688,1.4773726173684338,1.3998018808381123,0.25053594113943084
Türkiye,2.672126535328087,3.1159108254888093,-1.8839149320300788,0.42077627450346444,-0.3343390126650279
