,C1,C2,C3,C4,C5
Austria,0.3738576854105942,0.3973366453577313,0.17745807759199547,0.028181695986364382,0.023165895653314693
Belgium,0.32884533863687715,0.41953447478901695,0.21388409529201954,0.024558125910058567,0.013177965372027757
Belgium,0.32884533863687715,0.41953447478901695,0.21388409529201954,0.024558125910058567,0.013177965372027757
Bulgaria,0.5584582640834787,0.000509095068370549,0.15385683443476342,0.2870930488981021,8.275751528540886e-05
Bulgaria,0.5584582640834787,0.000509095068370549,0.15385683443476342,0.2870930488981021,8.275751528540886e-05
Croatia,0.7180210554178261,0.09586947274557804,0.0021446254802316785,0.09342203060143418,0.09054281575493003
Cyprus,0.40115870002693577,0.008913484599167848,0.10358607133405552,0.00011140037018249755,0.4862303436696583
Czechia,0.5969818753535063,0.10014463354186418,0.06482528139650365,0.1251216920732628,0.11292651763486314
Denmark,0.6948494985432059,0.022695205994668417,0.27390525886055006,0.003719365781800803,0.004830670819774736
Estonia,0.42280178529279216,0.28494250634559604,0.006937154081537264,0.07029684321755385,0.21502171106252055
Finland,0.578356798522055,0.010220741197156793,0.3106092989658989,0.005639488529218108,0.09517367278567107
France,0.09362920538268639,0.7204098932109783,0.03079291979783695,0.15013927777903885,0.005028703829459564
Germany,0.0066522698801848015,0.05710874179934936,0.03722349161257142,0.8910514227714286,0.007964073936465893
Greece,0.47566406788648735,0.21177358066374508,6.77087392959526e-05,0.21632383067207567,0.09617081203839596
Hungary,0.055945654930548115,0.35852584314102237,0.006166561497659702,0.10599767954401093,0.47336426088675904
Iceland,0.010602238158709809,0.9465869513656855,2.2633348261077006e-06,0.0007919423504287684,0.042016604790349715
Ireland,0.7457357878834461,0.03290847408094106,0.11658080029230923,0.00994133631626393,0.09483360142703967
Italy,0.20409919545646413,0.5910534634222052,0.06611042473902522,0.10826574438351218,0.030471171998793282
Latvia,0.5556992523018702,0.07589791575089531,0.03490864886258473,0.02120188860267054,0.3122922944819792
Liechtenstein,0.12385437686333342,0.023994575315061765,0.7268265768363217,0.12412380130622731,0.0012006696790558783
Lithuania,0.29545142396726953,0.3330587530763837,0.0003426134021280217,0.013078248460413215,0.3580689610938056
Luxembourg,0.0003068103200735454,0.37373707320430466,0.11375068655796791,0.10120666897365146,0.41099876094400234
Malta,0.15672073701393158,0.2455925409061505,0.49112266945989735,0.10145907543948796,0.005104977180532587
Montenegro,0.5566338853505561,0.004944521168990695,0.20914589450321788,0.2284641319176059,0.0008115670596294418
Netherlands,0.47759511517362835,0.33512743027470593,0.1200673715395534,0.03837265490394885,0.028837428108163473
Norway,0.514128052580549,0.15322940442529798,0.1597503588197355,0.12323304182129746,0.049659142353119995
Poland,0.48043162749954443,0.24721197300233863,0.23253448468751817,0.00025359187423410254,0.03956832293636467
Portugal,0.6484707685481953,0.12048354261362482,0.05219074599212303,0.15142054795920615,0.027434394886850937
Romania,0.2154535918550623,0.0702975533661718,0.05804242669492231,0.44048652874010685,0.21571989934373687
Serbia,0.741820658508918,0.16109348714550908,0.07524747671994654,0.002938332968274782,0.018900044657351678
Slovakia,0.2538759830142813,0.248814426015705,0.38440071029559597,0.03876222301254354,0.07414665766187421
Slovenia,0.6305714140144292,0.06005459449360034,0.17744709434350406,0.13181133765909142,0.00011555948937497175
Spain,0.40203338356863044,0.3317261336555676,0.03021316173301941,0.23534719136314633,0.000680129679636193
Sweden,0.008946153882660372,0.2894101444550282,0.3228664303721876,0.3077783649930238,0.07099890629710012
Switzerland,0.38862033008542324,0.22413844085113524,0.20100731054892274,0.1804533329124449,0.005780585602073801
Türkiye,0.34515468323373705,0.4693207662521345,0.17156247691376983,0.008558589944775836,0.0054034836555830155
